Origin,Acc_exponential,Acc_cumulative
110623012,300025.5293049056,547733
110623013,311220.3221971634,547733
110623014,307662.723277438,547733
110623015,321004.2930629028,547733
110623016,300380.7351941101,547733
110623017,302567.05289634154,547733
110623018,319819.6729366457,547733
110623019,310062.87979942973,547733
110623020,313972.2967300783,547677
110623021,317124.1336430834,547733
110623022,309817.8984494414,547733
110623023,312845.29794335883,547733
110623024,309017.8253448576,547733
110623025,309871.98937593226,547002
110623026,306987.28334041475,547002
110623027,302964.1118219542,547733
110623028,311602.05615037767,547733
110623029,307307.73180785927,547733
110623030,318214.15916011634,547677
110623031,312617.62999740965,547733
110623032,316598.37793176004,547733
110623033,311746.7266789633,547677
110623034,310357.44263114803,547733
110623035,313607.19891513744,547733
110623036,310624.34738319,547733
110624001,290327.65782444563,547002
110624002,287604.5988717457,547002
110624003,286199.50548179913,547002
110624004,282214.66883496725,547002
110624005,289776.10034913046,547002
110624006,280000.61031711043,547002
110624007,277651.78364286665,547002
110624008,261953.81024607018,547002
110624009,249376.49335271385,545499
110624010,246989.33499619775,545499
110624011,250131.73800603917,546461
110625001,288207.51095526083,546461
110625002,287893.1466561012,546461
110625003,292767.27424075606,546461
110625004,289434.5536012417,547002
110625005,297350.18982205086,546461
110625006,288772.0677288343,546461
110625007,290704.70128105616,547002
110625008,296905.7292253111,546461
110625009,284113.36503257585,546461
110625010,284805.04521273205,546461
110625011,286626.7245792754,546461
110625012,286912.8570864094,547002
110625013,290089.0785337295,547002
110625014,292465.87940224505,546461
110625015,288717.61959502124,546461
110625016,268509.31512057444,546461
110625017,289675.9804694605,546461
110625018,285159.4782425224,546461
110625019,278305.6378250435,546461
110625020,285009.48681580985,547002
110625021,290432.6052082039,547002
110625022,279032.9635496071,546461
110625023,280875.4786911718,546461
110625024,284041.1548084369,547002
110625025,266934.36671830725,546461
110625026,282050.96497700876,547002
110626001,274343.420066626,547733
110626002,278011.42787618836,547733
110626003,265153.9773348529,546771
110626004,283762.7657549004,547733
110626005,278610.06023368984,547733
110626006,258218.87957461365,543667
110626007,273177.9559433905,546771
110626008,262854.4884451895,545333
110626009,247133.7265087609,536593
110626010,267072.4337105918,546771
110626011,256412.67871998908,543667
110626012,273670.70441991504,547733
110626013,258773.1414889323,545333
110626014,275269.68391622393,547733
110626015,263655.65399789653,545333
110626016,254907.7722598835,541805
110626017,265824.22108572215,545333
110627001,267154.06718787894,546040
110627002,267405.0380515689,546040
110628001,277199.2715954965,547733
110628002,262110.392086476,546040
110628003,255823.56409647202,546040
110628004,256565.02667446304,546040
110628005,262483.62800406315,546040
110628006,259761.0367681911,546715
110628007,257880.59883753728,544602
110628008,257526.08373065185,544602
110628009,253312.03483744682,546040
110629001,272584.02708108054,546461
110629002,271834.13224123046,546461
110629003,265425.4678545122,546461
110629004,269146.7389841155,546461
110629005,271783.69849346863,546461
110629006,268112.00599983695,547002
110629007,264613.68009757594,546461
110629008,263120.4444875274,546461
110629009,266441.08250725816,546461
110629010,268965.92132566025,546461
110629011,266559.1552549238,546461
110629012,264723.8124959417,546461
110630001,298109.3464726228,547733
110630002,293257.62458739977,547733
110630003,280841.8432083894,547733
110630004,298829.0034185359,547733
110630005,289078.90726660227,547733
110630006,286796.2126096816,547733
110630007,270769.44515495305,546771
110630008,280917.2384593636,547733
110630009,274405.8859642609,546771
110630010,278584.30664701917,547733
110630011,274732.1214287303,546771
110630012,274094.5292147947,546771
110630013,279532.9047042848,547733
110630014,288911.3952554662,547733
110630015,284139.83583632327,547733
110631001,257246.9296280471,547002
110631002,277896.46598901367,547002
110631003,287479.7856136127,547733
110632001,219454.5502823703,476362
110632002,239905.63726325775,529809
110632003,244406.16803781255,533113
110632004,228209.4987592583,510035
110632005,237428.7673247847,527511
110632006,242328.3408156922,539502
110632007,241941.0897975977,530414
110632008,244858.44041976795,532352
110632009,245925.24031766926,534739
110632010,240697.40554138477,532352
110632011,241287.4531073617,532438
110632012,242171.57731544864,541869
110632013,238932.51616894465,531301
110632014,251210.97444522163,540413
110632015,249163.35743521148,544602
110632016,251627.04659713327,537531
110632017,246043.26659112962,542447
110633001,261187.38923470824,541201
110633002,259295.0823486126,533430
110633003,266316.4369963463,546298
110633004,255627.67869701431,516564
110633005,255130.08241765393,518781
110633006,232747.52626427327,454235
110633007,264419.81615588715,537533
110633008,253540.884156171,515474
110633009,244558.78487179335,480221
110633010,265152.38514711516,540454
110633011,255554.61796983232,516966
110633012,264500.6852105557,537729
110633013,280567.77746674395,547002
110633014,270309.8537677545,546298
110633015,237273.29672648123,460581
110633016,233683.60634137708,456271
110633017,253336.00258313815,510995
110633018,257805.95258045592,520468
110633019,255101.2937042761,515919
110633020,259030.2895454934,524529
110633021,260162.04328183114,529314
110633022,271984.13187615894,546627
110633023,248692.07344060793,496551
110633024,247516.5922108176,493496
110633025,248251.21134310204,490137
110633026,263507.55434105045,534996
110633027,256192.02334147744,525560
110633028,250604.1026372932,502710
110633029,269949.9423073701,546298
110633030,244091.69245668306,487509
110633031,269770.3077468911,542491
110633032,261601.522787568,536299
110633033,254963.17964627335,516738
110633034,268680.386207307,540983
110633035,252191.17545271787,509008
110633036,261137.16042370547,532121
110633037,257396.60623535188,522633
110633038,251713.65333907693,509008
110633039,252689.26003056837,512047
110633040,260414.2075985624,531988
110633041,276671.9050591351,546627
110633042,261966.35989733002,531494
110633043,277585.29523660085,546627
110633044,273259.85250695137,544708
110633045,266932.7325814448,541473
110633046,278539.7398773612,546627
110633047,263373.4587819018,535794
110633048,261931.76364163507,535852
110633049,274895.8215267915,546627
110633050,269582.70403244713,542352
110633051,270136.18657875963,542774
110633052,279806.97251682007,546627
110633053,269916.39539929456,542352
110633054,276773.11271501303,546627
110633055,276095.87318764516,545195
110633056,282634.16944981273,546627
110633057,283396.16365932,546627
110633058,286396.6135944566,547002
110633059,290049.15081766085,547002
110633060,276517.5199466433,546627
110633061,293614.54404513695,547002
110633062,268356.9077047127,541999
110633063,282632.7716989894,546627
110633064,288964.51312324527,547002
110633065,275522.4443108889,546627
110633066,260998.19363476307,531952
110633067,268556.62779087096,541999
110633068,275428.04135313525,546627
110633069,277494.03693035414,546627
110633070,271002.3702967136,544708
110633071,274257.91762568755,545195
110633072,266873.92048517975,541090
110633073,268843.13729987835,542352
110633074,272425.05540982727,544708
110633075,257666.6619332118,528580
110633076,261667.13275220623,536826
110633077,268863.3171930212,542491
110633078,280477.7361147075,546086
110633079,268966.702860428,542904
110633080,263505.5130290175,540207
110633081,279357.5187765823,546086
110634001,260223.09436798544,547002
110634002,254445.57389538878,547002
110635001,290325.3947433747,547733
110635002,295080.45945883857,547733
110635003,297831.73351811967,547733
110635004,278498.5227424637,547733
110635005,289569.0233619905,547733
110635006,291772.34781469405,547733
110635007,288434.4913698705,547733
110635008,292639.26588224166,547733
110635009,294966.72405989235,547733
110635010,288774.7019857367,547733
110635011,284868.9372874347,547733
110635012,293769.7343706286,547733
110635013,286321.2633464515,547733
110635014,282321.8499119749,547733
110635015,281049.3602096098,547733
110635016,280548.1396114009,547733
110635017,287229.646536744,547733
110635018,289243.0394249007,547733
110635019,278304.7435662612,546771
110635020,272403.1608106311,546771
110635021,274607.5167099982,547733
110635022,276501.14397311816,547733
110635023,281820.55980969156,547733
110635024,283553.7195899713,547733
110635025,276127.25741249556,546771
110635026,278504.55226160074,547733
110635027,279340.56953806,547733
110635028,269105.74707150663,545333
110635029,273111.71032390866,546771
110635030,263445.22751572233,545333
110635031,281276.10022245836,547733
110635032,276716.38925446884,547733
110636001,252780.5531115392,545073
110636002,247005.93377800556,545008
110636003,266759.39979598304,547002
110636004,272335.0898758284,547002
110636005,268010.9459918139,547002
110637001,263284.3292288074,544602
110637002,259035.7261514915,544602
110637003,255050.8132037587,542936
110637004,254632.98530094823,544602
110637005,259510.67783090065,543611
110637006,261531.01126141683,546771
110637007,259767.15509995716,546771
110637008,266620.4511955833,546771
110638001,256220.09091591957,546461
110638002,256911.87480913816,547002
110638003,250020.49185890864,546461
110638004,262618.1470067955,547002
110639001,294404.56837999384,547733
110639002,285430.7980376359,547002
110639003,296141.30807356484,547733
110639004,296099.9780123302,547733
110639005,292294.8051758587,547733
110639006,298352.199651686,547733
110639007,300567.4235270187,547733
110639008,297898.11388062563,547733
110639009,288841.8104075241,547733
110639010,292798.3214386413,547733
110639011,269472.8667791542,546651
110639012,300040.89037302963,547733
110639013,295750.6203291686,547733
110639014,297687.2390120956,547733
110639015,310453.15496939386,547733
110639016,307756.3591643076,547733
110639017,286081.0181528033,547733
110639018,302018.4968400525,547733
110639019,304718.3704205225,547733
110639020,286557.3985609691,547733
110639021,292832.55374710466,547733
110639022,303518.02058292157,547733
110639023,301376.2506550129,547733
110639024,299025.4321039003,547733
110639025,281454.3666440255,547002
110639026,282977.0760576048,547733
110639027,293195.5889260575,547733
110639028,289707.0720063933,547733
110639029,292861.6739423565,547733
110639030,288438.01240288373,547733
110639031,303314.8632453496,547733
110639032,295571.7317175466,547733
110639033,291521.48359688505,547733
110639034,282282.7235817359,547733
110639035,282683.97950057616,547677
110639036,309107.5279951805,547733
110639037,285891.81772375834,547733
110639038,293639.5640880736,547733
110639039,291411.7602755507,547733
110639040,292712.88184538897,547733
110639041,304578.7514835911,547733
110639042,279956.2332618148,547677
110639043,309835.7439374513,547733
110639044,292885.66364551283,547733
110639045,294794.91780866456,547733
110639046,289924.4028913793,547733
110639047,292986.5908544813,547733
110639048,294791.8527039047,547733
110639049,294326.35534968704,547733
110639050,296446.87606375985,547733
110639051,293821.9780814038,547733
110639052,290909.75428628817,547733
110639053,297039.47282947024,547733
110639054,296490.8345322753,547733
110639055,298701.83862811606,547733
110639056,291037.42702746013,547733
110639057,302860.7388108687,547733
110639058,303215.53280752944,547733
110639059,299004.12426282483,547733
110639060,285429.9659016551,547733
110639061,298478.99040388677,547733
110639062,293523.56561379344,547733
110640001,236554.22828802007,527591
110640002,244242.13298927515,540591
110640003,263648.5015952761,547733
110640004,233926.95894185256,521716
110640005,256422.84856888952,546420
110640006,240016.3223640633,533750
110640007,248534.91329602408,542775
110640008,252241.9459444716,545333
110640009,237364.77063416055,527888
110640010,250246.02122503414,542967
110640011,236478.64671087186,528376
110640012,245108.31678721347,535892
110640013,245465.0952177483,537674
110641001,299426.32734531676,547002
110641002,292148.79637024313,546461
110641003,290426.54029070353,546461
110641004,292155.92564155057,546461
110641005,301498.2444454767,547002
110641006,291735.44867531245,546461
110641007,284579.84725848975,546461
110641008,290347.88168260135,546461
110641009,287881.5952014865,546461
110641010,290885.8275397798,546461
110641011,292707.85334358964,546461
110641012,294978.68773883,546461
110641013,288851.7491438464,546461
110641014,296950.25655382604,546461
110641015,275210.9962807894,546461
110641016,290979.05740366585,546461
110641017,283869.4947621995,546461
110641018,286786.07021834963,546461
110641019,286371.59200927254,546461
110641020,278536.0861958824,546461
110641021,280935.36798424413,546461
110641022,281001.02655461844,546461
110641023,269519.1810357242,546461
110641024,278445.6480396587,546461
110641025,276645.1444454662,546461
110641026,276103.5667724543,546461
110641027,278070.4106582908,546461
110641028,282141.933069452,546461
110641029,271495.1536361029,546461
110641030,276117.0798125267,546461
110642001,285830.2940754049,547002
110642002,284616.57106868667,547002
110642003,277618.402368091,547002
110642004,305286.53181881947,547002
110642005,287495.66758537554,547002
110642006,286579.1991143297,547002
110642007,296745.11594816076,547002
110642008,303297.5950413124,547002
110642009,297459.20156745386,547002
110642010,304356.2046600093,547002
110642011,293327.52752776735,547002
110642012,289556.928645159,547002
110642013,300393.7381934685,547002
110642014,304935.41818909463,547002
110642015,296805.4257673157,547002
110642016,299730.3911255512,547002
110642017,294155.21211294516,547002
110642018,295562.71099448367,547002
110642019,299225.44092384895,547002
110642020,311363.2641114045,547002
110642021,302769.2038794198,547002
110642022,306638.2122263248,547002
110643001,309742.6293484412,547002
110643002,301231.96209988085,547002
110643003,304819.22231111856,547002
110643004,310540.0263204785,547002
110643005,304380.24514403846,547002
110643006,303383.79838542,547002
110643007,312188.81155094726,547002
110643008,304501.8756889986,547002
110643009,309430.711115498,547002
110643010,309981.48832900816,547002
110643011,308833.50440711406,547677
110643012,309950.0052823395,547002
110643013,305106.3368325688,547002
110643014,296763.7132926111,547002
110643015,310209.7812247251,547002
110643016,304242.52177321195,547002
110643017,299299.76266495226,547002
110643018,290005.65962915163,546461
110643019,296284.06898625696,547002
110643020,304462.5448651626,547002
110644001,290046.92628543806,546461
110644002,299742.12788333354,547002
110644003,294270.8525135804,546461
110644004,303481.45434514503,547002
110644005,292673.95222570037,546461
110644006,294956.7966495064,546461
110644007,298219.3152151663,547002
110644008,306272.5556577503,547002
110644009,299133.8815944906,547002
110644010,287589.7491708011,547002
110644011,299521.0493413845,547002
110644012,296472.67646910355,547002
110644013,309162.64849919744,547733
110644014,304635.4450914244,547002
110644015,299249.78187183826,547002
110644016,301292.44798974256,547002
110644017,299512.47831292707,547002
110644018,292511.8636083419,547002
110644019,293066.5043841692,547002
110644020,300095.24997387856,547002
110644021,296024.56420515705,547002
110644022,297531.6714472607,547002
110644023,306160.8344085231,547733
110644024,298926.71964358806,547677
110644025,306540.81460387167,547002
110644026,294913.62712327513,547002
110644027,300437.6826964463,547002
110644028,298173.3772800223,547002
110644029,312233.4581725209,547733
110644030,298463.809287828,547002
110644031,293438.4365190021,547002
110644032,294665.38335884246,547002
110644033,305887.8079120627,547733
110644034,298921.15786893846,547002
110644035,295175.13508550695,547002
110644036,302522.2417845183,547733
110644037,295579.6039810414,547002
110644038,297930.17214058153,547002
110644039,298841.92191434395,547733
110645001,282210.8949171646,547002
110645002,286868.31643423095,547677
110645003,289481.7426323322,547733
110645004,290272.2560632945,547733
110645005,278665.8633123454,547733
110645006,296757.5457591961,547733
110645007,284664.2698739118,547733
110645008,276570.8292356846,547002
110645009,281500.1185365408,547733
110646001,295613.859093804,547733
110646002,303009.6928436945,547733
110646003,296420.52030600735,547733
110646004,296556.98480365454,547733
110646005,290796.76676264656,547733
110646006,292611.6738313332,547733
110646007,281346.60451611615,547733
110646008,281886.64883637213,547733
110646009,275674.41116863146,547733
110646010,277591.7573918188,547733
110646011,277398.536106483,547733
110646012,282131.18137904594,547733
110647001,255751.29459416674,547002
110647002,254916.4979672516,547002
110647003,252581.8362930563,547002
110647004,257244.45066610712,547002
110648001,260046.5458903096,547002
110648002,250176.74726675107,547002
110648003,268601.1591386165,547002
110648004,259546.49857539852,547002
110648005,268905.70328930876,547002
110648006,275439.70706601674,547002
110649001,262187.1421530743,547002
110649002,262667.16895212105,546771
110649003,254627.8207670394,546040
110649004,264969.3708814288,547733
110649005,265997.8243507308,547733
110649006,266099.3441911701,547002
110649007,273000.0932157569,547677
110650001,312219.64813361404,547733
110650002,318031.46197952423,547733
110650003,292983.55304527597,547733
110650004,309923.16379052226,547733
110650005,306244.7260198478,547677
110650006,304114.7738910895,547733
110650007,307680.58247525623,547733
110650008,305546.7095772916,547733
110650009,311383.00966991327,547733
110650010,295647.6422923745,547733
110650011,307268.9094793902,547733
110650012,289659.240153531,547733
110650013,303694.55658254214,547733
110650014,306328.68999203556,547733
110650015,305585.9830600342,547733
110650016,304432.7545350057,547733
110651001,263469.4893535833,546461
110651002,265948.5346593539,546461
110651003,270181.7673768857,546461
110651004,265244.51356970205,546461
110651005,261361.49470748066,546461
110651006,262873.4050541756,546461
110651007,269603.4323550534,547002
110651008,252262.33238983696,544692
110651009,258125.04503781872,546461
110652001,269412.74592493067,547002
110652002,259376.88807138003,547002
110652003,272859.90968672174,547002
110653001,263617.6718890733,546461
110653002,272862.14558251906,547002
110653003,251979.81729191483,546461
110653004,269236.2036949272,547002
110653005,263223.50153803115,547002
110653006,262060.68518272805,547002
110653007,241824.03499591025,545891
